ItemSK	WarehouseSK	CostCenterSK	IssueDateSK	Description
13321	3	13	20220502	برگشت به انبار جهت فروش به پروژه عراق - با هماهنگی آقای اویسی
21861	3	35	20220502	برگشت به انبار جهت ارسال به کارگاه 97 - پیرو درخواست شماره 384
5416	3	13	20220505	پیرو درخواست شماره 400 ارسال به کارگاه 
6649	3	46	20220507	ارسال به کارگاه گروه جهت تعمیر پیرو درخواست 416 (9عدد قطعه ماردون بروی شفت میباشدکه باخود شفت ارسال گردید)
13341	3	9	20220507	ارسال به کارگاه گروه جهت تعمیر پیرو درخواست 417 
14713	3	18	20220508	تحویلی از خانم خلیلی -  لپ تاپ HP  مدل 15-DR1007tx -  بهمراه آدابتور و کیف
480	3	18	20220508	تحویلی از خانم خلیلی -  لپ تاپ HP  مدل 15-DR1007tx -  بهمراه آدابتور و کیف
14657	3	12	20220508	ارسال به شرکت فروردین آزما تجهیز جهت تعمیر پیرو درخواست 402 
6649	3	46	20220508	ارسال نمونه شفت ماردون دستگاه اکسترودر DNDG جهت نقشه کزدن به کارگاه گروه پیرو درخواست 441 
18705	3	7	20220508	ارسال به کارگاه جهت تعمیر پیرو درخواست 446
19435	3	31	20220509	دریافتی از خانم حسین زاده مدل RALINK/RT3290
593	3	24	20220509	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 353 
16079	3	13	20220511	پیرو درخواست 470 ارسال به کارگاه گروه
12905	3	13	20220511	پیرو درخواست 475 جهت ارسال به کارگاه گروه
4735	3	13	20220511	برگشت به انبار جهت تحویل به پروژه چیپس
6649	3	46	20220512	برگشت به انبارشفت کامل دستگاه اکسترودر dndg جهت موجودی تحویلی از آقای آقاپور
6832	3	46	20220512	برگشت به انبارشفت کامل دستگاه اکسترودر dndg جهت موجودی تحویلی از آقای آقاپور
6845	3	46	20220512	برگشت به انبارشفت کامل دستگاه اکسترودر dndg جهت موجودی تحویلی از آقای آقاپور
6830	3	46	20220512	برگشت به انبارشفت کامل دستگاه اکسترودر dndg جهت موجودی تحویلی از آقای آقاپور
6807	3	46	20220512	برگشت به انبارشفت کامل دستگاه اکسترودر dndg جهت موجودی تحویلی از آقای آقاپور
6745	3	46	20220512	برگشت به انبارشفت کامل دستگاه اکسترودر dndg جهت موجودی تحویلی از آقای آقاپور
6808	3	46	20220512	برگشت به انبارشفت کامل دستگاه اکسترودر dndg جهت موجودی تحویلی از آقای آقاپور
6744	3	46	20220512	برگشت به انبارشفت کامل دستگاه اکسترودر dndg جهت موجودی تحویلی از آقای آقاپور
6741	3	46	20220512	برگشت به انبارشفت کامل دستگاه اکسترودر dndg جهت موجودی تحویلی از آقای آقاپور
6806	3	46	20220512	برگشت به انبارشفت کامل دستگاه اکسترودر dndg جهت موجودی تحویلی از آقای آقاپور
6742	3	46	20220512	برگشت به انبارشفت کامل دستگاه اکسترودر dndg جهت موجودی تحویلی از آقای آقاپور
5668	3	13	20220512	ارسال به تعمیر 72 عدد باتری لیفتراک در قالب 3 باکس باهماهنگی خانم تبرائی و آقای اویسی
2114	3	32	20220513	موجودی
2094	3	32	20220513	موجودی
2114	3	32	20220513	موجودی
2094	3	32	20220513	موجودی
1546	9	NULL	20220514	برگشت به انبار جهت پروژه TR -توزین 189
20419	3	13	20220514	ارسال به تعمیر پیرو درخواست 472 *
20059	3	6	20220622	ارسال به کارگاه جهت تعمیر پیرو درخواست 933 *
7427	3	6	20220623	ارسال به آنا الکتریک جهت تعمیر پیرو درخواست 924 *
16227	3	13	20220623	ارسال به آنا الکتریک جهت تعمیر پیرو درخواست 894*
11990	3	15	20220623	برگشت به انبارتخلیه در انبار ماشین آلات
16465	3	31	20220623	ویدیو پرژکتورمدل ( HITACHI - CP-X2530WN ) به همراه پایه تحویل دهنده مشرقیان به آقای سعید عباسی
11926	3	31	20220623	ویدیو پرژکتورمدل ( HITACHI - CP-X2530WN ) به همراه پایه تحویل دهنده مشرقیان به آقای سعید عباسی
7126	3	35	20220623	جهت ارسال امانی به کارگاه گروه
15285	3	31	20220623	برگشت به انبار جهت فروش به کارگاه 97 - با هماهنگی خانم تبرایی و آقای سعید عباسی
11409	3	31	20220623	برگشت به انبار جهت فروش به کارگاه 97 - با هماهنگی خانم تبرایی و آقای سعید عباسی
481	3	31	20220623	برگشت به انبار جهت فروش به کارگاه 97 - با هماهنگی خانم تبرایی و آقای سعید عباسی
15617	3	13	20220406	ارسال به تعمیر پیرو درخواست 4219 سال 1400 به آرمانسیس
12773	3	14	20220406	ارسال به تعمیر پیرو درخواست 34 به شرکت ماه رو*
593	3	22	20220406	ارسال به ماشینهای اداری امین جهت تعمیر پیرو درخواست 65*
19810	3	NULL	20220407	برگشت به انبار جهت مرجوع -پیرو رسید شماره 6448  سال 1400
19793	3	13	20220407	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 86
10946	3	2	20220407	برگشت به انبار جهت ارسال به کارگاه جهت تست - بدون درخواست - با هماهنگی آقای اویسی
2028	3	32	20220409	موجودی
969	3	34	20220411	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 14
11797	3	34	20220411	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 14
1899	3	40	20220411	برگشت به انبار جهت ارسال به شستشو - پیرو درخواست شماره 106
6036	3	46	20220411	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 113
539	3	46	20220411	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 114
7915	3	46	20220411	ارسال به تعمیر به شرکت پیشرو صنایع پیرو درخواست 3200 سال 1400 
6185	3	28	20220411	برگشت به انبار جهت فروش به پاک لایه سان - با هماهنگی آقای عربی و خانم اصحابی
6578	3	46	20220411	پیرو درخواست 132 ارسال ب کارگاه 
969	9	NULL	20220412	برگشت به انبار جهت برگشت امانی کالا
6109	3	46	20220412	پیرو درخواست 171 ارسال به کارگاه
891	3	40	20220412	پیرو درخواست 110 ارسال برای شارژ
894	3	40	20220412	پیرو درخواست 110 ارسال برای شارژ
895	3	40	20220412	پیرو درخواست 110 ارسال برای شارژ
4663	3	13	20220413	NULL
7375	3	13	20220413	پیرو درخواست 180 ارسال به کارگاه گروه 
20820	3	15	20220522	برگشت به انبار جهت ارسال به تعمیر- پیرو درخواست شماره 531
9179	3	32	20220522	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 79 - 602
21730	3	31	20220522	برگشت به انبار جهت فروش به پتروفیلم
482	3	31	20220522	برگشت به انبار جهت فروش به پتروفیلم
15697	3	31	20220522	برگشت به انبار جهت فروش به پتروفیلم
2706	3	31	20220522	برگشت به انبار جهت فروش به پتروفیلم
3431	3	6	20220523	پیرو درخواست 623 ارسال به کارگاه
13740	3	13	20220523	جهت ارسال به شارژ به انبار علی شاهی پیرو درخواست 624 *
17073	3	13	20220523	پیرو درخواست 625 ارسال به کارگاه
12898	3	13	20220524	تخلیه در انبار ماشین الات
16457	3	27	20220524	باز شده از واحد خرید
6109	3	6	20220524	پیرو درخاست 634 ارسال به کارگاه
1790	3	NULL	20220524	برگشت به انبار جهت موجودی
21856	3	NULL	20220524	برگشت به انبار جهت موجودی
18661	3	2	20220525	ارسال به تعمیر پیرو درخواست 606 *
5875	3	31	20220525	جهت ارسال امانی به شرکت پترو فیلم پیرو هماهنگی قبلی با خانم تبرائی
480	3	31	20220525	جهت ارسال امانی به شرکت پترو فیلم پیرو هماهنگی قبلی با خانم تبرائی
481	3	31	20220525	جهت ارسال امانی به شرکت پترو فیلم پیرو هماهنگی قبلی با خانم تبرائی
7553	3	13	20220526	پیرو درخواست 655 ارسال به کارگاه گروه صنعتی
502	3	31	20220712	برگشت به انبار جهت فروش به شرکت پاک لایه سان جهت آقای شاهرخ یوسف زاده * تحویل به پاک لایه سان توسط خانم حسین زاده*مارک ylink
592	3	33	20220713	جهت ارسال به تعمیر به سمند پیمای کویر ایرانیان پیرو درخواست 932
15759	3	29	20220713	
2099	3	32	20220713	
6649	3	46	20220713	ارسال به کارگاه گروه پیرو درخواست 1208 *
18140	3	46	20220713	ارسال به کارگاه گروه پیرو درخواست 1208 *
22284	3	46	20220713	ارسال به کارگاه گروه پیرو درخواست 1208 *
20150	3	13	20220713	پیرو درخواست 1201 جهت ارسال به کارگاه گروه
4621	3	13	20220713	پیرو درخواست 1205 جهت ارسال به کارگاه گروه
2873	3	13	20220713	پیرو درخواست 1198 جهت ارسال به تعمیر
16562	3	15	20220713	انتقال به انبار B2
16568	3	15	20220713	انتقال به انبار B2
18661	3	13	20220328	ارسال به کارگاه گروه جهت تعمیر پیرو درخواست 11 
16396	3	13	20220404	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 33
2883	3	6	20220404	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 35
13277	3	29	20220404	ارسال به تعمیر پیرو درخواست 41 
16153	3	9	20220404	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 50
7131	3	10	20220405	برگشت به انبار جهت ارسال به کارگاه 97 - پیرو درخواست شماره 63
2706	3	31	20220515	برگشت به انبار جهت فروش به پتروفیلم
2588	3	31	20220515	برگشت به انبار جهت فروش به پتروفیلم
7651	3	31	20220515	برگشت به انبار جهت فروش به پتروفیلم
5668	3	13	20220515	برگشت به انبار جهت ارسال به پروژه تی ار   جهت تعمیرپیرو در خواست 511
18795	3	46	20220516	پیرو درخواست 541 ارسال به کارگاه
20421	3	46	20220516	پیرو درخواست 541 ارسال به کارگاه
10482	3	6	20220704	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 1111
7953	3	46	20220704	پیرو درخواست 1113و  1114  و   1115  جهت ارسال به کارگاه گروه صنعتی
6130	3	46	20220704	پیرو درخواست 1113و  1114  و   1115  جهت ارسال به کارگاه گروه صنعتی
8268	3	46	20220704	پیرو درخواست 1113و  1114  و   1115  جهت ارسال به کارگاه گروه صنعتی
13062	3	13	20220704	پیرو درخواست 1100  جهت ارسال به کارگاه گروه
16098	3	13	20220705	جهت ارسال به پروژه تی آر
16106	3	13	20220705	جهت ارسال به پروژه تی آر
22272	3	13	20220705	
20839	3	13	20220705	جهت ارسال به پروژه TR
970	3	13	20220705	مارک توسن*جهت تحویل به واحد عمران آقای زینالی
2517	3	13	20220706	پیرو درخواست 1112 جهت ارسال به آنا الکتریک
6270	3	29	20220706	
16227	3	13	20220706	پیرو درخواست 1145 جهت ارسال به آنا الکتریک
16345	3	13	20220706	پیرو درخواست 1145 جهت ارسال به آنا الکتریک
2328	3	13	20220706	پیرو درخواست 1142 جهت ارسال به انا الکتریک
22276	3	13	20220706	پیرو درخواست 1142 جهت ارسال به انا الکتریک
22277	3	31	20220707	برگشت به انبار جهت موجودی - رنگ مشکی - بهمراه آدابتور
9533	3	31	20220707	برگشت به انبار جهت موجودی - رنگ مشکی - بهمراه آدابتور
8397	3	46	20220707	پیرو درخواست 1146 جهت ارسال به کارگاه گروه نمونه جهت ساخت
6103	3	46	20220707	پیرو درخواست 1146 جهت ارسال به کارگاه گروه نمونه جهت ساخت
22278	3	31	20220707	برگشت به انبار جهت موجودی - بهمراه آدابتور و بدون کیف - رنگ نقره ای ( شماره بارکد 209226 ) - ( در اختیار آقای مشرقیان بوده است ) - روکش کیبورد زدگی دارد
9469	3	13	20220707	پیرو درخواست 1141 جهت ارسال به تعمیر
20419	3	13	20220707	پیرو درخواست 1005 جهت ارسال به تعمیر
20029	3	13	20220707	جهت ارسال امانی به پروژه TR
6649	3	46	20220707	پیرو درخواستهای 1153 و 1154 و 1155 جهت ارسال 5 عدد شفت به کارگاه گروه
17971	3	9	20220707	ارسال نمونه به کارگاه گروه جهت ساخت همراه با یک برگ نقشه پیرو درخواست 1156*
6649	3	46	20220707	ارسال با هماهنگی آقای اویسی و بهرنگ جهت اصلاح
6830	3	46	20220707	ارسال با هماهنگی آقای اویسی و بهرنگ جهت اصلاح
17654	3	13	20220707	جهت رسید و ارسال امانی به شرکت پاک لای سان با هماهنگی اقای اویسی و خانم تبرائی
6649	3	46	20220707	برگشت به انبار جهت ارسال به کارگاه 97 - ( اسقاطی ) - با هماهنگی آقای اویسی و آقای بهرنگ
6830	3	46	20220707	برگشت به انبار جهت ارسال به کارگاه 97 - ( اسقاطی ) - با هماهنگی آقای اویسی و آقای بهرنگ
19438	3	1	20220707	جهت اصلاح و ارسال مجدد به آقای جدی پیرو درخواست 1052*
18662	3	15	20220709	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 444
1943	3	29	20220709	
349	3	31	20220709	جهت ارسال امانی به پاک لایه سان
10242	3	31	20220709	جهت ارسال امانی به پاک لایه سان
2888	3	13	20220709	پیرو درخواست 1162  جهت ارسال به کارگاه گروه
19838	9	NULL	20220421	برگشت به انبارجهت فروش به پروژه TR
3780	9	NULL	20220421	برگشت به انبارجهت فروش به پروژه TR
1430	9	NULL	20220421	برگشت به انبارجهت فروش به پروژه TR
2134	3	13	20220421	موجودی
19643	3	24	20220422	موجودی
8195	3	13	20220424	پیرو درخواست 103 ارسال به تعمیر 
5416	3	13	20220424	پیرو درخواست 290 ارسال به کارگاه 
14340	3	24	20220424	ارسال به تعمیر پرینتر مالی به ماشین های اداری امین پیرو درخواست 254 
1943	3	NULL	20220424	NULL
21811	3	2	20220425	پیرو درخواست 320  ارسال به کارگاه گروه 
9895	3	13	20220426	پیرو درخواست 330 ارسال به کارگاه 
20017	3	13	20220426	پیرو درخواست 330 ارسال به کارگاه 
20264	3	NULL	20220426	پیرو درخواست 297ارسال به کارگاه
555	3	13	20220427	پیرو درخواست 308 ارسال به تعمیر
16396	3	13	20220427	پیرو درخواست 252 ارسال جهت تعمیر
14713	3	22	20220430	برگشت به انبار جهت تحویل به خانم نفیسه خلیلی به همراه آداپتور و کیف لپ تاپ
21860	3	46	20220430	ارسال به کارگاه گروه جهت تعمیر پیرو درخواست 361*
20421	3	46	20220430	ارسال به کارگاه گروه جهت تعمیر پیرو درخواست 361*
18795	3	46	20220430	ارسال به کارگاه گروه جهت تعمیر پیرو درخواست 361*
629	3	12	20220501	ارسال به شرکت آرین تجهیز آزما جهت تعمیر پیرو درخواست 349 باهماهنگی خانم موتمنی و آقای کرم پور*
1080	3	13	20220615	
2075	3	32	20220615	
2106	3	32	20220615	
2201	3	32	20220615	
1150	3	32	20220615	
3729	3	13	20220615	موجودی
2213	3	6	20220615	موجودی
16523	3	13	20220616	جهت ارسال به کارگاه 97 - جهت نمونه - با هماهنگی خانم تبرایی و آقای اویسی
16025	3	29	20220616	
9484	3	15	20220616	برگشت به انبار جهت ارسال به کارگاه 97 جهت نقشه - با هماهنگی خانم تبرایی و آقای اویسی
3567	3	13	20220617	
891	3	40	20220618	برگشت به انبار جهت ارسال به شارژ - پیرو درخواست شماره 789
894	3	40	20220618	برگشت به انبار جهت ارسال به شارژ - پیرو درخواست شماره 789
895	3	40	20220618	برگشت به انبار جهت ارسال به شارژ - پیرو درخواست شماره 789
15617	3	31	20220618	برگشت به انبار جهت مرجوع با پاک لایه سان - بصورت امانی نزد گروه بوده - پیرو رسید امانی شماره 4200
6036	3	15	20220619	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 782
6649	3	46	20220620	برگشت به انبار جهت ارسال امانی همه شفت های دستگاه اکسترودر DNDG به کارگاه گروه
22146	3	2	20220823	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 1420
480	3	31	20220823	ثبت رسید جهت موجودی
6803	3	6	20220824	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 1376
16236	3	13	20220824	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 1419
11781	3	13	20220824	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 1419
2873	3	13	20220824	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 1419
22599	3	13	20220828	ارسال کنترل برق ژنراتور 8660 MTU  به آنا الکتریک جهت تعمیر پیرو درخواست 2527 با هماهنگی آقای عربی و اویسی*
17641	3	13	20220828	پیرو درخواست  2508 جهت ارسال به کارگاه  
17679	3	13	20220828	پیرو درخواست 2516  جهت ارسال به کارگاه 
2243	3	13	20220828	پیرو درخواست های 1463  و 2534   و 2504 جهت ارسال به اناالکتریک
2612	3	13	20220828	پیرو درخواست های 1463  و 2534   و 2504 جهت ارسال به اناالکتریک
2328	3	13	20220828	پیرو درخواست های 1463  و 2534   و 2504 جهت ارسال به اناالکتریک
12777	3	13	20220829	برگشت به انبار جهت ارسال به پروژه tr - با هماهنگی خانم تبرایی و آقای اویسی و خانم موصلانی - باتری های UPS  کارکرده میباشد
16102	3	13	20220829	برگشت به انبار جهت ارسال به پروژه tr - با هماهنگی خانم تبرایی و آقای اویسی و خانم موصلانی - باتری های UPS  کارکرده میباشد
19438	3	1	20220830	برگشت به انبار جهت ارسال به شرکت نستله - پیرو سفارش شماره 195
8167	3	13	20220405	پیرو درخواست 49 ارسال به کارگاه  جهت اصلاح
895	3	40	20220528	برگشت به انبار جهت ارسال به شارژ - پیرو درخواست شماره 638
894	3	40	20220528	برگشت به انبار جهت ارسال به شارژ - پیرو درخواست شماره 638
891	3	40	20220528	برگشت به انبار جهت ارسال به شارژ - پیرو درخواست شماره 638
890	3	40	20220528	برگشت به انبار جهت ارسال به شارژ - پیرو درخواست شماره 638
889	3	40	20220528	برگشت به انبار جهت ارسال به شارژ - پیرو درخواست شماره 638
18795	3	46	20220528	برگشت به انبار جهت ارسال به کارگاه 97 - پیرو درخواست شماره 678
16442	3	15	20220530	ارسال جهت تعمیر به آنا الکتریک پیرو درخواست 677
19452	3	13	20220530	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 705
16523	3	13	20220530	یک عدد تسمه فلزی از جعبه ابزارهای ولف برداشته شد و به خانم تبرائی تحویل داده شد
339	3	33	20220530	جهت تحویل به آقای هاشم پور
6782	3	32	20220531	
482	3	31	20220531	برگشت به انبار جهت فروش به آقای سعید یوسف زاده - پیرو سفارش فروش 82 - ارزش ریالی کیس 330.000.000 ریال به گفته آقای سعید عباسی - مربوط به رسید شماره 5893 سال 1400
1912	3	32	20220531	
12202	3	2	20220531	ارسال به کارگاه گروه جهت تعمیر پیرو درخواست 709 *
20828	3	6	20220602	برگشت به انبار جهت ارسال به کارگاه 97 - پیرو درخواست شماره 721
21790	3	6	20220602	برگشت به انبار جهت ارسال به کارگاه 97 - پیرو درخواست شماره 721
22070	3	13	20220602	برگشتی از واحد تاسیسات
3929	3	13	20220602	برگشتی از واحد تاسیسات
17480	3	13	20220602	برگشتی از واحد تاسیسات
3519	3	13	20220602	برگشتی از واحد تاسیسات
3517	3	13	20220602	برگشتی از واحد تاسیسات
1189	3	13	20220602	برگشتی از واحد تاسیسات
504	3	31	20220603	یک عدد بی سیم کنوود همراه با آنتن ، شارژر و باتری جهت تحویل به آقای اویسی
21157	3	NULL	20220606	
9903	3	35	20220607	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 704
6185	3	24	20220607	موجودی
18690	3	13	20220607	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 726
21922	3	13	20220607	قطر 10 سانت
22074	3	13	20220607	
2048	3	NULL	20220607	
2049	3	NULL	20220607	
1943	3	29	20220911	NULL
19879	3	13	20220911	پیرو درخواست 4285 جهت ارسال به تعمیر
7707	3	6	20220911	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 4281
22703	3	13	20220911	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 4350
15497	3	46	20220913	پیرو درخواست 4415 جهت ارسال به کارگاه 
22711	3	13	20220913	پیرو درخواست  4377  جهت ارسال به کارگاه
20150	3	13	20220913	پیرو درخواست  4384  جهت ارسال به کارگاه 
2108	3	28	20220913	NULL
11477	3	15	20220913	ارسال امانی به کارگاه گروه با هماهنگی آقای عربی
3420	3	13	20220913	پیرو درخواست  4383 جهت ارسال به کارگاه 
13920	3	2	20220913	پیرو درخواست 4401 جهت ارسال به کارگاه 
19732	3	13	20220913	پیرو درخواست 4373 جهت ارسال به کارگاه 
8205	3	46	20220914	پیرو درخواست 4443 جهت ارسال به کارگاه 
558	3	13	20220918	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 4299
10394	3	13	20220918	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 4299
11532	3	13	20220918	برگشت 2 عدد درب موتور 4 کیلو وات به همراه روتور موتور جهت تعمیر و ارسال به کارگاه گروه پیرو درخواست 4453*
12905	3	6	20220918	برگشت یک جفت فک افقی 32 سانتی دستگاه بسته بندی چینی به همراه 2 برگ نقشه فک افقی 25 سانتی دستگاه بسته بندی چینی جهت ارسال به کارگاه پیرو درخواست 4471*
5416	3	6	20220918	ارسال به کارگاه گروه جهت تعمیر پیرو درخواست 4475*
22711	3	6	20220918	ارسال نمونه ( سه تیکه ) ساخت به کارگاه گروه پیرو درخواست 4376*
19879	3	32	20220919	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 4483
5661	3	13	20220830	برگشت به انبار جهت فروش به پتروفیلم - با هماهنگی خانم تبرایی و آقای اویسی
13740	3	13	20220801	برگشت به انبار جهت ارسال به شارژ پیرو درخواست 1467
934	3	12	20220803	برگشت  به انبار مایکروویو ال جی آزمایشگاه جهت ارسال به تعمیر پیرو درخواست 1325*
13740	3	13	20220801	ارسال به شارژ پیرو درخواست 1467 - 
18223	3	13	20220831	پیرو درخواست  2587  جهت ارسال به کارگاه 
5963	3	46	20220831	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 2548
21538	3	13	20220831	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 1431
6107	3	12	20220831	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 2549
18661	3	2	20220803	ارسال فن اتاق شست شو سالن ویفرجهت تعمیر پیرو درخواست 751*
2892	3	13	20220803	ارسال به تعمیر جهت سیم پیچی پیرو درخواست 4228*
10974	3	13	20220803	ارسال به تعمیر جهت سیم پیچی پیرو درخواست 4228*
11478	3	32	20220816	ارسال به تعمیر پیرو درخواست 4229 *
14065	3	26	20220816	ارسال به تعمیر پیرو درخواست 4229*
16926	3	6	20220811	ارسال به تعمیر یک جفت فک افقی 25 س دستگاه چینی به کارگاه گروه پیرو درخواست 4233*
20150	3	13	20220811	ارسال به کارگاه گروه جهت تعمیر شفت آهنی پمپ سیرکوله پیرو درخواست 4235*
22286	3	46	20220811	ارسال به کارگاه گروه جهت اصلاح و تعمیر پیرو درخواست 4236*
6161	3	46	20220811	ارسال به کارگاه گروه جهت اصلاح و تعمیر پیرو درخواست 4236*
6598	3	13	20220811	ارسال به کارگاه گروه جهت اصلاح و تعمیر پیرو درخواست 4236*
6595	3	13	20220811	ارسال به کارگاه گروه جهت اصلاح و تعمیر پیرو درخواست 4236*
4621	3	13	20220811	ارسال به کارگاه گروه جهت اصلاح و تعمیر پیرو درخواست 4236*
7638	3	1	20220811	ارسال به کارگاه گروه جهت  تعمیر شفت استیل نوار برگشتی خمیر لمیناتور بیسکویت پیرو درخواست 4237*
1621	3	13	20220811	ارسال 2 برگ ورق استیل به کارگاه گروه جهت برش پیرو درخواست 4238 *
11609	3	13	20220731	ارسال به اصلاح فولی چدنی تک تسمه b9 پیرو درخواست 4311*
894	3	29	20220814	ارسال به شارژ پیرو درخواست 4249 *
895	3	29	20220814	ارسال به شارژ پیرو درخواست 4249 *
891	3	29	20220814	ارسال به شارژ پیرو درخواست 4249 *
457	3	12	20220903	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 2561
22635	3	13	20220813	ارسال به تعمیر کمپرسور چیلر فریونی به بهسرد آقای صادق پور پیرو درخواست 4258*
18690	3	24	20220816	ارسال به تعمیر کمپرسور کولر گازی واحد حسابداری پیرو درخواست 4264 *
15617	3	13	20220814	ارسال به تعمیر لپ تاپ سونی پیرو درخواست 4266*
14340	3	23	20220820	ارسال به تعمیر پیرو درخواست 4274*
22282	3	13	20220801	ارسال نمونه با هماهنگی آقای اویسی
7588	3	38	20220903	برگشت از اتاق آقای عبدالهی
6026	3	38	20220903	برگشت از اتاق آقای عبدالهی
894	3	29	20220727	جهت ارسال امانی به کشت وصنعت با هماهنگی خانم تبرایی و آقای هراتی
3571	3	13	20220731	جهت ارسال به کالیبره
22108	3	13	20220731	جهت ارسال به کالیبره
17040	3	13	20220731	جهت ارسال به کالیبره
20828	3	13	20220816	NULL
8205	3	46	20220814	ارسال دای جهت تعمیر پیرو درخواست 4290*
584	3	6	20220906	ارسال غلتک زیر دراژه اسنک به کارگاه جهت تعمیر پیرو درخواست 4291*
9148	3	1	20220906	ارسال به تعمیر پیرو درخواست 4297 با هماهنگی آقای اویسی و خانم تبرایی
7372	3	31	20220906	همراه با کابل های مربوطه و یک عدد آداپتور مانیتور جهت سفارش فروش به شرکت پاک لایه سان با هماهنگی خانم حسین زاده و خانم تبرایی
478	3	31	20220906	همراه با کابل های مربوطه و یک عدد آداپتور مانیتور جهت سفارش فروش به شرکت پاک لایه سان با هماهنگی خانم حسین زاده و خانم تبرایی
482	3	31	20220906	همراه با کابل های مربوطه و یک عدد آداپتور مانیتور جهت سفارش فروش به شرکت پاک لایه سان با هماهنگی خانم حسین زاده و خانم تبرایی
21538	3	13	20220626	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 961
962	3	12	20220626	برگشت به انبار جهت ارسال به تعمیر- پیرو درخواست شماره 955
22227	3	15	20220626	ثبت رسید جهت ایجاد موجودی انبار - برداشته شده از یکی از دستگاهای ولف
6746	3	13	20220626	پیرو درخواست 1013 ارسال به کارگاه
22228	3	13	20220626	پیرو درخواست 1017 ارسال به کارگاه
22231	3	15	20220626	برداشته شده از روی دستگاه بسته بندی ولف - هرکدام از فلش ها بهمراه سه برگ کاتالوگ میباشد
6649	3	46	20220628	پیرو درخواست 1033 جهت ارسال به کارگاه
6161	3	13	20220628	پیرو درخواست 940  جهت ارسال به کارگاه
932	3	28	20220628	مارک CACIO مدل MJ-120D PLUS
7588	3	6	20220628	باهماهنگی آقای  عربی
1237	3	15	20220628	برگشت به انبار جهت موجودی
22236	3	15	20220629	ثبت رسید جهت ایجاد موجودی انبار*برداشته شده از یکی از دستگاهای ولف با هماهنگی آقای عربی
22237	3	15	20220629	ثبت رسید جهت ایجاد موجودی در انبار*برداشته شده از یکی از دستگاهای ولف با هماهنگی آقای عربی
22238	3	29	20220629	ارسال به شارژ پیرو درخواست 1051*
19438	3	1	20220629	برگشت به انبار جهت ارسال به اصلاح - پیرو درخواست شماره 1052
18795	3	46	20220629	پیرو درخواست 1050 جهت ارسال به کارگاه
6805	3	46	20220629	پیرو درخواست 1041 جهت ارسال به کارگاه قطعه فابریکی میباشد جهت نمونه ساخت
22230	3	13	20220629	پیرو درخواست 1018 جهت ارسال به آنالکتریک
21935	3	13	20220629	پیرو درخواست 1018 جهت ارسال به آنالکتریک
20916	3	13	20220629	پیرو درخواست 1018 جهت ارسال به آنالکتریک
19465	3	13	20220630	پیرو درخواست 1035 جهت ارسال به کارگاه  نمونه ساخت
13674	3	46	20220630	پیرو درخواست 1062 جهت ارسال به کارگاه گروه صنعتی
2882	3	13	20220630	پیرو درخواست شماره 1057 جهت اصلاح شفت موتور
6649	3	46	20220630	پیرو درخواست 1068 ارسال مجدد به کارگاه جهت اصلاح
3431	3	13	20220702	پیرو درخواست 1073 جهت ارسال به کارگاه جهت نمونه ساخت
8397	3	46	20220702	پیرو درخواست 1079 جهت ارسال به کارگاه گروه
22243	3	13	20220702	پیرو درخواست 1076 جهت ارسال به کارگاه گروه
6483	3	13	20220702	پیرو درخواست 1077 جهت ارسال به کارگاه گروه
8397	3	46	20221001	پیرو درخواست 4616 جهت ارسال به کارگاه گروه 
